fnumber,label,accuracy,left x,top y,width,height
31,KIA,100,26,222,21,28
31,KIA,100,86,177,18,27
31,JACOBS_CREEK,100,183,23,99,43
31,IBM,100,218,105,47,20
31,FLY_EMIRATES,100,304,24,87,37
31,KIA,100,356,267,48,24
31,KIA,100,422,23,87,44
31,MELBOURNE,100,471,619,322,33
31,KIA,100,535,22,84,44
31,KIA,100,647,21,86,46
31,KIA,100,761,21,86,46
31,KIA,100,866,269,48,24
31,ANZ,100,888,21,107,40
31,ANZ,100,1023,25,104,41
31,ROLEX,100,1048,84,24,18
31,FLY_EMIRATES,100,1156,32,75,42
31,KIA,100,1190,185,22,29
31,KIA,100,1219,205,18,30
31,KIA,99,1250,228,24,28
32,KIA,98,19,219,22,28
32,KIA,99,53,197,19,25
32,KIA,37,108,153,18,27
32,JACOBS_CREEK,63,141,23,85,51
32,JACOBS_CREEK,100,201,4,91,45
32,IBM,98,238,87,41,19
32,FLY_EMIRATES,100,316,6,87,36
32,KIA,100,367,240,47,23
32,KIA,100,433,6,79,39
32,MELBOURNE,100,490,573,284,33
32,KIA,100,542,6,76,39
32,KIA,100,651,7,76,39
32,KIA,100,761,6,74,40
32,KIA,100,858,241,41,23
32,ANZ,100,872,2,108,38
32,ANZ,100,1002,2,101,46
32,ROLEX,100,1029,64,22,17
32,FLY_EMIRATES,93,1127,14,73,41
32,KIA,100,1162,161,23,28
32,KIA,100,1191,181,19,28
32,KIA,99,1223,203,20,27
33,KIA,100,26,222,21,28
33,KIA,100,86,178,18,27
33,JACOBS_CREEK,100,182,23,99,43
33,IBM,100,217,105,47,21
33,FLY_EMIRATES,100,304,24,87,37
33,KIA,100,356,267,48,24
33,KIA,100,422,23,87,44
33,MELBOURNE,100,471,618,321,33
33,KIA,100,535,22,85,45
33,KIA,100,647,21,86,46
33,KIA,100,761,20,87,46
33,KIA,100,866,270,48,24
33,ANZ,100,888,20,107,41
33,ANZ,100,1023,24,104,41
33,ROLEX,100,1048,84,25,18
33,FLY_EMIRATES,100,1157,33,70,43
33,KIA,100,1190,185,22,30
33,KIA,100,1219,205,19,30
33,KIA,99,1250,228,24,28
34,KIA,100,26,222,21,27
34,KIA,100,86,177,18,27
34,JACOBS_CREEK,100,183,23,99,43
34,IBM,100,217,105,47,20
34,FLY_EMIRATES,100,304,24,88,38
34,KIA,100,356,267,48,24
34,KIA,100,421,22,89,44
34,MELBOURNE,100,474,619,317,32
34,KIA,100,535,22,85,45
34,KIA,100,647,21,86,46
34,KIA,100,761,21,86,46
34,KIA,100,866,269,48,24
34,ANZ,100,887,20,109,42
34,ANZ,100,1022,24,104,41
34,ROLEX,100,1048,84,25,18
34,FLY_EMIRATES,100,1157,33,70,42
34,KIA,100,1190,185,22,29
34,KIA,100,1219,205,18,30
34,KIA,99,1250,227,24,29
35,KIA,100,26,222,21,28
35,KIA,100,86,177,18,28
35,JACOBS_CREEK,100,183,23,99,43
35,IBM,100,218,105,46,20
35,FLY_EMIRATES,100,304,24,87,37
35,KIA,100,356,266,48,24
35,KIA,100,421,22,89,44
35,MELBOURNE,100,472,619,319,32
35,KIA,100,536,21,83,45
35,KIA,100,647,21,85,45
35,KIA,100,761,20,86,45
35,KIA,100,866,269,48,24
35,ANZ,100,887,20,109,42
35,ANZ,100,1023,24,103,41
35,ROLEX,100,1047,83,25,18
35,FLY_EMIRATES,100,1156,32,74,41
35,KIA,100,1190,185,22,29
35,KIA,100,1219,204,18,30
35,KIA,99,1250,227,24,29
36,KIA,100,26,221,21,27
36,KIA,100,86,176,17,28
36,JACOBS_CREEK,100,183,23,98,43
36,IBM,100,218,105,47,20
36,FLY_EMIRATES,100,304,23,88,38
36,KIA,100,356,266,49,24
36,KIA,100,420,21,91,44
36,MELBOURNE,100,481,617,307,35
36,KIA,100,536,21,84,45
36,KIA,100,647,21,86,45
36,KIA,100,761,20,87,46
36,KIA,100,866,269,48,24
36,ANZ,100,886,19,111,42
36,ANZ,100,1023,24,104,42
36,ROLEX,100,1047,83,25,18
36,FLY_EMIRATES,100,1156,31,74,42
36,KIA,100,1190,185,22,29
36,KIA,100,1219,204,19,30
36,KIA,99,1250,227,23,29
37,KIA,100,25,221,21,27
37,KIA,100,86,176,18,28
37,JACOBS_CREEK,100,183,22,98,43
37,IBM,100,218,105,47,20
37,FLY_EMIRATES,100,304,23,88,38
37,KIA,100,356,266,49,24
37,KIA,100,420,21,92,44
37,MELBOURNE,100,480,616,310,36
37,KIA,100,536,20,85,45
37,KIA,100,647,20,86,45
37,KIA,100,760,19,88,46
37,KIA,100,866,269,48,24
37,ANZ,100,886,19,110,43
37,ANZ,100,1022,23,104,42
37,ROLEX,100,1047,83,25,18
37,FLY_EMIRATES,100,1156,31,74,42
37,KIA,100,1190,185,22,29
37,KIA,100,1219,204,18,30
37,KIA,99,1250,227,23,29
